Species Code	Species Name
Spla	Sargassum platycarpum
Spli	Spinosella plicifera
Spol	Sargassum polyceratium
Spte	Sargassum pteropleuron
Srad	Siderastrea radians
Sros	Stylaster roseus
Ssid	Siderastraea siderea
Stco	Stereotelesto corallina
Sthe	Stoichactis helianthus
Stma	Steginoporella magnilabris
Stoi	Stoichactis sp.
Ston	Strongylacidon sp.
Stro	Siphonocladus tropicus
Svag	Spinosella vaginalis
Sves	Spheciospongia vesparium
Svio	Schizoporella violacea
Svir	Symplegma viride
Swel	Scolymia wellsi
Swif	Swiftia sp.
Szon	Stypopodium zonale
Tame	Telmatactis americana
Taur	Tubastraea aurea
Tavi	Trematooecia aviculifera
Tber	Titanoderma bermudense
Tcoc	Tubastraea coccinea
Tele	Telesto sp.
Tfra	Titanideum frauenfeldii
Tfru	Telesto fruticulosa
Ther	Trichogloea herveyi
Tign	Tedania ignis
Tita	Titanoderma sp.
Tniv	Thesea nivea
Tped	Trichogloepsis pedicellata
Tpro	Titanoderma protopytum
Treq	Trichogloea requienii
Trii	Thalamophyllia riisei
Tsol	Trididemum solidum
Ttes	Thalassia testudinum
Ttri	Turbinaria tricostata
Ttur	Turbinaria turbinata
Turb	Turbinaria sp.
Tven	Tripneustes ventricosus
Ucya	Udotea cyathiformis
Udot	Udotea sp.
Ufas	Ulva fasciata
Ufla	Udotea flabellum
Uhis	Ulosa hispida
Ulac	Ulva lactuca
Ulva	Ulva sp.
Uocc	Udotea occidentalis
Uoxy	Ulvaria oxysperma
Urue	Ulosa ruetzleri
Uwil	Udotea wilsonii
Vaeg	Valonia aegagropila
Valo	Valonia sp.
Verm	Vermiliopsis sp.
Vero	Verongula sp.
Vgig	Verongula gigantea
Vglo	Viatrix globulifera
Vmac	Valonia macrophysa
Vrig	Verongula rigida
Vutr	Valonia utricularis
Vven	Ventricaria ventricosa
Warg	Wrangelia argus
Wblo	Wrightiella blodgettii
Wpen	Wrangelia penicillata
Wran	Wrangelia sp.
Xest	Xestospongia sp.
Xmut	Xestospongia muta
Zoan	Zoanthus sp.
Zpul	Zoanthus pulchellus
Zsoc	Zoanthus sociatus
